timestamp,easting,northing,zone_number,zone_letter
1741266368.3753724,330237.9407161826,4156670.8535959935,52,S
1741266368.5003724,330237.96110908175,4156670.986386306,52,S
1741266368.6253724,330237.9817288221,4156671.1302725826,52,S
1741266368.7503724,330238.01141081745,4156671.2850741968,52,S
1741266368.8753724,330238.05876363954,4156671.4395145574,52,S
1741266369.0003724,330238.0614857111,4156671.5726661226,52,S
1741266369.1253724,330238.0818786074,4156671.705456435,52,S
1741266369.2503722,330238.0936629337,4156671.8495233385,52,S
1741266369.3753722,330238.10567409446,4156672.004686204,52,S
1741266369.5003722,330238.143510981,4156672.126019302,52,S
1741266369.6253722,330238.1639038776,4156672.258809614,52,S
1741266369.7503722,330238.19358586485,4156672.413611229,52,S
1741266369.8753722,330238.2228141729,4156672.546220916,52,S
1741266370.0003722,330238.2615584122,4156672.711937869,52,S
1741266370.1253722,330238.27288905485,4156672.833812844,52,S
1741266370.2503722,330238.29328194854,4156672.966603157,52,S
1741266370.3753722,330238.31435535883,4156673.1326813623,52,S
1741266370.5003722,330238.2996334432,4156673.277290142,52,S
1741266370.6253722,330238.31119092635,4156673.4102610815,52,S
1741266370.7503722,330238.3404192302,4156673.542870769,52,S
1741266370.8753722,330238.3696475334,4156673.6754804566,52,S
1741266371.0003722,330238.4167734972,4156673.8188248565,52,S
1741266371.1253722,330238.45483721176,4156673.9512539194,52,S
1741266371.2503722,330238.47500326217,4156674.072948269,52,S
1741266371.3753722,330238.504004723,4156674.1944619943,52,S
1741266371.5003722,330238.52462445013,4156674.338348272,52,S
1741266371.6253722,330238.5538527484,4156674.470957959,52,S
1741266371.7503722,330238.5921432974,4156674.6144829863,52,S
1741266371.8753722,330238.647650986,4156674.7354548336,52,S
1741266372.0003722,330238.6861683712,4156674.890075825,52,S
1741266372.1253722,330238.7246857529,4156675.0446968167,52,S
1741266372.2503722,330238.76297629485,4156675.188221844,52,S
1741266372.3753722,330238.81893765705,4156675.331385622,52,S
1741266372.5003722,330238.85722819634,4156675.4749106476,52,S
1741266372.625372,330238.8866833274,4156675.618616302,52,S
1741266372.750372,330238.9340361121,4156675.773056669,52,S
1741266372.875372,330238.9813888953,4156675.927497036,52,S
1741266373.000372,330239.0280611642,4156676.048649511,52,S
1741266373.125372,330239.0572894504,4156676.1812592014,52,S
1741266373.250372,330239.1046422295,4156676.33569957,52,S
1741266373.375372,330239.13432419254,4156676.490501187,52,S
1741266373.500372,330239.17261472245,4156676.634026216,52,S
1741266373.625372,330239.1751099425,4156676.756081817,52,S
1741266373.750372,330239.18734792335,4156676.9223406496,52,S
1741266373.875372,330239.2170298813,4156677.0771422675,52,S
1741266374.000372,330239.2376495949,4156677.2210285454,52,S
1741266374.125372,330239.2578156294,4156677.342722899,52,S
1741266374.250372,330239.26959993236,4156677.486789803,52,S
1741266374.375372,330239.29950872564,4156677.652687385,52,S
1741266374.500372,330239.33779924887,4156677.796212415,52,S
1741266374.625372,330239.3581921215,4156677.9290027306,52,S
1741266374.750372,330239.38764723606,4156678.0727083855,52,S
1741266374.875372,330239.41732918774,4156678.2275100043,52,S
1741266375.000372,330239.4293403258,4156678.3826728724,52,S
1741266375.125372,330239.4585686001,4156678.5152825643,52,S
1741266375.250372,330239.478734632,4156678.636976916,52,S
1741266375.375372,330239.507962905,4156678.7695866087,52,S
1741266375.500372,330239.5288094472,4156678.924568852,52,S
1741266375.625372,330239.55826455646,4156679.0682745073,52,S
1741266375.750372,330239.5965550728,4156679.211799538,52,S
1741266375.8753717,330239.6081125296,4156679.3447704795,52,S
1741266376.0003717,330239.6289590715,4156679.4997527245,52,S
1741266376.1253717,330239.6321348006,4156679.6550962157,52,S
1741266376.2503717,330239.65298133943,4156679.810078461,52,S
1741266376.3753717,330239.68198276917,4156679.9315921897,52,S
1741266376.5003717,330239.69399390224,4156680.086755059,52,S
1741266376.6253717,330239.72344900836,4156680.230460715,52,S
1741266376.7503717,330239.7619663533,4156680.3850817094,52,S
1741266376.8753717,330239.7911946177,4156680.517691402,52,S
1741266377.0003717,330239.81181431725,4156680.661577683,52,S
1741266377.1253717,330239.8326608493,4156680.816559929,52,S
1741266377.2503717,330239.85350738314,4156680.9715421735,52,S
1741266377.3753717,330239.8920247255,4156681.1261631683,52,S
1741266377.5003717,330239.93915063015,4156681.2695075762,52,S
1741266377.6253717,330239.97766797,4156681.424128572,52,S
1741266377.7503717,330240.0336292748,4156681.5672923573,52,S
1741266377.8753717,330240.0723734492,4156681.733009318,52,S
1741266378.0003717,330240.1020553802,4156681.887810939,52,S
1741266378.1253717,330240.13151047286,4156682.031516597,52,S
1741266378.2503717,330240.1435215975,4156682.186679466,52,S
1741266378.3753717,330240.1648218008,4156682.36385364,52,S
1741266378.5003717,330240.20311229106,4156682.5073786746,52,S
1741266378.6253717,330240.2237319811,4156682.6512649553,52,S
1741266378.7503717,330240.2534139072,4156682.8060665764,52,S
1741266378.8753717,330240.2917043967,4156682.949591611,52,S
1741266379.0003717,330240.3220668323,4156683.137681125,52,S
1741266379.1253717,330240.324788878,4156683.2708326904,52,S
1741266379.2503715,330240.32819143496,4156683.437272148,52,S
1741266379.3753715,330240.34020255815,4156683.5924350186,52,S
1741266379.5003715,330240.3615027536,4156683.7696091924,52,S
1741266379.6253715,330240.3907310005,4156683.9022188867,52,S
1741266379.7503715,330240.41157752275,4156684.0572011336,52,S
1741266379.8753715,330240.4324240399,4156684.2121833796,52,S
1741266380.0003715,330240.462332798,4156684.378080965,52,S
1741266380.1253715,330240.48340615316,4156684.5441591768,52,S
1741266380.2503715,330240.4863550344,4156684.6884067063,52,S
1741266380.3753715,330240.4983661523,4156684.8435695767,52,S
1741266380.5003715,330240.51083094394,4156685.0209243754,52,S
1741266380.6253715,330240.5316774604,4156685.175906622,52,S
1741266380.7503715,330240.55229713937,4156685.319792905,52,S
1741266380.8753715,330240.5552460202,4156685.464040435,52,S
1741266381.0003715,330240.5672571368,4156685.619203306,52,S
1741266381.1253715,330240.59739272617,4156685.7961968565,52,S
1741266381.2503715,330240.61801240325,4156685.940083138,52,S
1741266381.3753715,330240.6123527224,4156686.095607258,52,S
1741266381.5003715,330240.6329723989,4156686.239493541,52,S
1741266381.6253715,330240.6628811464,4156686.4053911273,52,S
1741266381.7503715,330240.69233621925,4156686.549096787,52,S
1741266381.8753715,330240.730626691,4156686.6926218234,52,S
1741266382.0003715,330240.7510195279,4156686.825412143,52,S
1741266382.1253715,330240.7985990662,4156686.9909484843,52,S
1741266382.2503715,330240.83757004485,4156687.167761411,52,S
1741266382.3753715,330240.8491274826,4156687.300732355,52,S
1741266382.5003715,330240.8613654303,4156687.46699119,52,S
1741266382.6253712,330240.88221193757,4156687.6219734377,52,S
1741266382.7503712,330240.9214097469,4156687.80988233,52,S
1741266382.8753712,330240.9601538838,4156687.9755992945,52,S
1741266383.0003712,330240.9896089479,4156688.1193049545,52,S
1741266383.1253712,330241.0283530825,4156688.28502192,52,S
1741266383.2503712,330241.06709721335,4156688.4507388845,52,S
1741266383.3753712,330241.11422306544,4156688.594083299,52,S
1741266383.5003712,330241.13484273024,4156688.7379695824,52,S
1741266383.6253712,330241.1559160674,4156688.904047796,52,S
1741266383.7503712,330241.1858248012,4156689.0699453843,52,S
1741266383.8753712,330241.23340432125,4156689.2354817274,52,S
1741266384.0003712,330241.28053016705,4156689.3788261437,52,S
1741266384.1253712,330241.31904745544,4156689.533447146,52,S
1741266384.2503712,330241.3666269708,4156689.6989834886,52,S
1741266384.3753712,330241.4055979289,4156689.8757964186,52,S
1741266384.5003712,330241.44388837495,4156690.019321458,52,S
1741266384.6253712,330241.45589947473,4156690.1744843307,52,S
1741266384.7503712,330241.4593020168,4156690.3409237885,52,S
1741266384.8753712,330241.480602182,4156690.518097967,52,S
1741266385.0003712,330241.51889262686,4156690.661623006,52,S
1741266385.1253712,330241.5485745113,4156690.816424632,52,S
1741266385.2503712,330241.5782563949,4156690.971226258,52,S
1741266385.3753712,330241.61722734454,4156691.1480391896,52,S
1741266385.5003712,330241.6473628981,4156691.3250327455,52,S
1741266385.6253712,330241.6770447786,4156691.479834371,52,S
1741266385.7503712,330241.69789126614,4156691.6348166214,52,S
1741266385.8753712,330241.71896458906,4156691.8008948355,52,S
1741266386.000371,330241.7488733032,4156691.966792426,52,S
1741266386.125371,330241.7871637386,4156692.110317467,52,S
1741266386.250371,330241.8166187791,4156692.2540231296,52,S
1741266386.375371,330241.84630065446,4156692.408824757,52,S
1741266386.500371,330241.87620936707,4156692.5747223482,52,S
1741266386.625371,330241.9058912407,4156692.7295239754,52,S
1741266386.750371,330241.91767549596,4156692.873590885,52,S
1741266386.875371,330241.92085119605,4156693.0289343796,52,S
1741266387.000371,330241.9244805678,4156693.206469804,52,S
1741266387.125371,330241.9629978294,4156693.3610908086,52,S
1741266387.250371,330241.99245286407,4156693.5047964733,52,S
1741266387.375371,330241.99562856345,4156693.6601399696,52,S
1741266387.500371,330242.02531043475,4156693.8149415986,52,S
1741266387.625371,330242.0554459741,4156693.9919351526,52,S
1741266387.750371,330242.0760656162,4156694.1358214403,52,S
1741266387.875371,330242.07901447907,4156694.2800689726,52,S
1741266388.000371,330242.0912524024,4156694.4463278106,52,S
1741266388.125371,330242.10349032556,4156694.6125866477,52,S
1741266388.250371,330242.14200758154,4156694.7672076523,52,S
1741266388.375371,330242.1628540568,4156694.922189904,52,S
1741266388.500371,330242.17486514297,4156695.077352778,52,S
1741266388.625371,330242.2047738433,4156695.24325037,52,S
1741266388.750371,330242.234909376,4156695.4202439273,52,S
1741266388.875371,330242.246693623,4156695.5643108366,52,S
1741266389.000371,330242.2587047098,4156695.7194737107,52,S
1741266389.125371,330242.27094262966,4156695.885732549,52,S
1741266389.2503707,330242.2831805492,4156696.0519913845,52,S
1741266389.3753707,330242.3219246304,4156696.2177083576,52,S
1741266389.5003707,330242.3337088804,4156696.3617752683,52,S
1741266389.6253707,330242.33688457636,4156696.5171187636,52,S
1741266389.7503707,330242.35818471457,4156696.6942929435,52,S
1741266389.8753707,330242.37064947013,4156696.8716477454,52,S
1741266390.0003707,330242.38266055007,4156697.0268106195,52,S
1741266390.1253707,330242.3948984697,4156697.193069458,52,S
1741266390.2503707,330242.3983010008,4156697.359508918,52,S
1741266390.3753707,330242.4193743038,4156697.5255871345,52,S
1741266390.5003707,330242.4311585496,4156697.6696540443,52,S
1741266390.6253707,330242.45200501627,4156697.824636296,52,S
1741266390.7503707,330242.481913703,4156697.9905338897,52,S
1741266390.8753707,330242.5299468322,4156698.1782621685,52,S
1741266391.0003707,330242.5505664611,4156698.322148456,52,S
1741266391.1253707,330242.5628043752,4156698.488407294,52,S
1741266391.2503707,330242.5748154538,4156698.6435701703,52,S
1741266391.3753707,330242.58728020266,4156698.8209249713,52,S
1741266391.5003707,330242.60789982986,4156698.9648112603,52,S
1741266391.6253707,330242.62829262356,4156699.097601584,52,S
1741266391.7503707,330242.6403036986,4156699.2527644592,52,S
1741266391.8753707,330242.6876563134,4156699.4072048473,52,S
1741266392.0003707,330242.7087296085,4156699.5732830623,52,S
1741266392.1253707,330242.7381846162,4156699.71698873,52,S
1741266392.2503707,330242.7590310749,4156699.8719709823,52,S
1741266392.3753707,330242.7801043702,4156700.038049198,52,S
1741266392.5003707,330242.8011776628,4156700.2041274174,52,S
1741266392.6253705,330242.8306326675,4156700.347833083,52,S
1741266392.7503705,330242.8512522887,4156700.491719372,52,S
1741266392.8753705,330242.8897695117,4156700.646340382,52,S
1741266393.0003705,330242.91945134883,4156700.8011420136,52,S
1741266393.1253705,330242.95819540444,4156700.9668589863,52,S
1741266393.2503705,330242.9790418553,4156701.1218412397,52,S
1741266393.3753705,330243.017559074,4156701.2764622513,52,S
1741266393.5003705,330243.0474677421,4156701.442359845,52,S
1741266393.6253705,330243.07760324643,4156701.6193534066,52,S
1741266393.7503705,330243.1245021712,4156701.7516018664,52,S
1741266393.8753705,330243.15395716677,4156701.8953075353,52,S
1741266394.0003705,330243.1838658309,4156702.0612051315,52,S
1741266394.1253705,330243.2316720928,4156702.2378374496,52,S
1741266394.2503705,330243.26158075465,4156702.4037350463,52,S
1741266394.3753705,330243.25569422444,4156702.5481632007,52,S
1741266394.5003705,330243.27631383564,4156702.692049491,52,S
1741266394.6253705,330243.2885517353,4156702.85830833,52,S
1741266394.7503705,330243.3182335624,4156703.013109963,52,S
1741266394.8753705,330243.3562970971,4156703.1455390467,52,S
1741266395.0003705,330243.3862057546,4156703.3114366443,52,S
1741266395.1253705,330243.433558338,4156703.465877033,52,S
1741266395.2503705,330243.4725292071,4156703.6426899745,52,S
1741266395.3753705,330243.4931488132,4156703.786576266,52,S
1741266395.5003705,330243.5051598742,4156703.941739141,52,S
1741266395.6253705,330243.5262331482,4156704.107817361,52,S
1741266395.7503705,330243.5561418026,4156704.273714958,52,S
1741266395.8753705,330243.5853699506,4156704.4063246637,52,S
1741266396.0003705,330243.62366031064,4156704.5498497128,52,S
1741266396.1253703,330243.64450674737,4156704.704831967,52,S
1741266396.2503703,330243.674415398,4156704.8707295647,52,S
1741266396.3753703,330243.7045508798,4156705.0477231294,52,S
1741266396.5003703,330243.7165619368,4156705.202886004,52,S
1741266396.6253703,330243.7199644503,4156705.369325467,52,S
1741266396.7503703,330243.7410377185,4156705.5354036866,52,S
1741266396.8753703,330243.7444402319,4156705.701843148,52,S
1741266397.0003703,330243.78250375064,4156705.8342722333,52,S
1741266397.1253703,330243.8033501852,4156705.9892544895,52,S
1741266397.2503703,330243.815361238,4156706.144417365,52,S
1741266397.3753703,330243.8452698823,4156706.310314964,52,S
1741266397.5003703,330243.8837870656,4156706.4649359784,52,S
1741266397.6253703,330243.8690651566,4156706.609544755,52,S
1741266397.7503703,330243.88130304456,4156706.7758035953,52,S
1741266397.8753703,330243.902149474,4156706.9307858516,52,S
1741266398.0003703,330243.9318312809,4156707.0855874866,52,S
1741266398.1253703,330243.943161829,4156707.2074624714,52,S
1741266398.2503703,330243.9640082591,4156707.362444728,52,S
1741266398.3753703,330244.00252543675,4156707.517065743,52,S
1741266398.5003703,330244.04104261316,4156707.6716867574,52,S
1741266398.6253703,330244.0525999981,4156707.8046577056,52,S
